OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
eCarUp,Arosa,7050,Poststrasse 234a,,46.775958,9.665202,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.775959,9.665163,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.775961,9.665146,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.775986,9.665169,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.775989,9.665135,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.775992,9.665103,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.776001,9.665203,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.776008,9.665181,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.776009,9.66515,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.77601,9.665164,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.776016,9.665132,1
eCarUp,Arosa,7050,Poststrasse 234a,,46.77602,9.665109,1
eCarUp,Arosa,7050,Poststrasse 238,,46.775994,9.665072,1
eCarUp,Arosa,7050,Prätschlistrasse 64,,46.790511,9.674991,1
eCarUp,Arosa,7050,Prätschlistrasse 64,,46.790565,9.674995,1
eCarUp,Arosa,7050,Schulhausstrasse 7,,46.776603,9.673284,1
eCarUp,Arosa,7050,Schulhausstrasse 7,,46.776613,9.673309,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786113,9.680424,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786227,9.680497,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786284,9.680559,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.78635,9.680616,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786401,9.680679,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786446,9.680731,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786473,9.680784,1
eCarUp,Arosa,7050,Seehaldaweg 25,,46.786501,9.680851,1
eCarUp,Arth,6415,Zugerstrasse 2,,47.063544,8.522282,1
eCarUp,Ascona,6612,Via S. Sebastiano 19,,46.154662,8.769273,1
eCarUp,Attalens,1616,Rte de Vevey 74,,46.504605,6.849759,1
eCarUp,Aubonne,1170,Chem. des Ancelles 5,,46.495699,6.369077,1
eCarUp,Aubonne,1170,Chem. des Ancelles 5,,46.495701,6.369094,1
eCarUp,Aubonne,1170,Chem. des Mûriers 1,,46.483209,6.401863,1
eCarUp,Aubonne,1170,Rue des Fossés-Dessous 21,,46.495279,6.39024,1
eCarUp,Aubonne,1170,Rue des Fossés-Dessous 21,,46.495302,6.390184,1
eCarUp,Auenstein,5105,Hueb,,47.422292,8.136206,1
eCarUp,Auvernier,2012,Rte des Graviers 3,,46.974137,6.877124,1
eCarUp,Auw,5644,Industriestrasse 4,,47.211599,8.366464,1
eCarUp,Avegno,6670,Via della Posta 1A,,46.204908,8.743768,1
eCarUp,Avry,1754,Rte de Matran 5,,46.787557,7.076693,1
eCarUp,Avry,1754,Rte de Matran 5,,46.787572,7.076726,1
eCarUp,Avry,1754,Rte de Matran 5,,46.787588,7.076757,1
eCarUp,Avry,1754,Rte de Matran 5,,46.787603,7.076786,1
eCarUp,Axalp,3855,Hittboden 1424G,,46.72337,8.037663,1
eCarUp,Aïre,1203,Rte d'Aïre 73c,,46.205127,6.107981,1
eCarUp,Baar,6340,Allmig 1,,47.211228,8.51157,1
eCarUp,Baar,6340,Allmig 1,,47.21124,8.511619,1
eCarUp,Baar,6340,Allmig 1,,47.211246,8.511661,1
eCarUp,Baar,6340,Allmig 1,,47.211681,8.511523,1
eCarUp,Baar,6340,Allmig 1,,47.211699,8.511493,1
eCarUp,Baar,6340,Allmig 2,,47.210542,8.512471,1
eCarUp,Baar,6340,Altgasse 43,,47.190266,8.518103,1
eCarUp,Baar,6340,Altgasse 43,,47.190351,8.518118,1
eCarUp,Baar,6340,Altgasse 63,,47.190293,8.517006,1
eCarUp,Baar,6340,Arbachstrasse 2d,,47.181979,8.532281,1
eCarUp,Baar,6340,Arbachstrasse 2d,,47.18199,8.532281,1
eCarUp,Baar,6340,Arbachstrasse 2d,,47.182281,8.532672,1
eCarUp,Baar,6340,Arbachstrasse 2d,,47.182285,8.532683,1
eCarUp,Baar,6340,Bahnhofstrasse 17,,47.194557,8.523678,1
eCarUp,Baar,6340,Bahnhofstrasse 17,,47.194567,8.52373,1
eCarUp,Baar,6340,Bahnhofstrasse 17,,47.194577,8.523769,1
eCarUp,Baar,6340,Huobriedstrasse 4,,47.1819,8.532004,1
eCarUp,Baar,6340,Huobriedstrasse 4,,47.181904,8.531999,1
eCarUp,Baar,6340,Huobriedstrasse 4,,47.181938,8.531999,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184122,8.517666,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184132,8.517667,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184149,8.517667,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184159,8.517668,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184177,8.517669,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184187,8.51767,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184202,8.517491,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.18422,8.517493,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184239,8.517496,1
eCarUp,Baar,6340,Lindenstrasse 6,,47.184261,8.5175,1
eCarUp,Baar,6340,Neuhofstrasse 1,,47.191471,8.51297,1
eCarUp,Baar,6340,Neuhofstrasse 1,,47.191604,8.51301,1
eCarUp,Baar,6340,Neuhofstrasse 1,,47.191627,8.513012,1
eCarUp,Baar,6340,Neuhofstrasse 1,,47.191649,8.513024,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189253,8.513949,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189254,8.513915,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189257,8.513842,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189257,8.513874,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189259,8.513807,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.18926,8.513786,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189277,8.513975,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189278,8.513948,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.18928,8.513908,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189282,8.513831,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189285,8.513811,1
eCarUp,Baar,6340,Neuhofstrasse 10,,47.189293,8.513882,1
